time,m_ballast_pumped,m_pitch,m_pressure,density
2024-08-05T19:55:44Z,NaN,NaN,NaN,NaN
2024-08-05T19:55:49Z,NaN,NaN,NaN,1024.5011
2024-08-05T19:55:51Z,NaN,NaN,NaN,NaN
2024-08-05T19:55:53Z,NaN,NaN,0.276859,1024.338
2024-08-05T19:55:57Z,NaN,NaN,NaN,NaN
2024-08-05T19:56:21Z,NaN,NaN,NaN,1023.8473
2024-08-05T19:56:29Z,NaN,-0.26529,NaN,NaN
2024-08-05T19:56:32Z,NaN,NaN,NaN,1022.4812
2024-08-05T19:56:41Z,NaN,NaN,0.682725,1021.218
2024-08-05T19:56:45Z,NaN,NaN,NaN,NaN
2024-08-05T19:57:29Z,NaN,NaN,1.50605,1021.1449
2024-08-05T19:57:33Z,NaN,NaN,NaN,NaN
2024-08-05T19:58:17Z,NaN,NaN,2.24357,NaN
2024-08-05T19:58:21Z,NaN,NaN,NaN,1021.1468
2024-08-05T19:59:05Z,NaN,NaN,2.02788,1021.1468
2024-08-05T19:59:09Z,NaN,NaN,NaN,NaN
2024-08-05T19:59:53Z,NaN,NaN,0.856668,NaN
2024-08-05T20:00:13Z,NaN,NaN,NaN,NaN
2024-08-05T20:00:17Z,NaN,NaN,NaN,NaN
2024-08-05T20:00:37Z,NaN,NaN,NaN,NaN
